title,company,location,role,posted,link,found_on,is_new,entry_level
Compensation Analyst - Analytics,Central Health,—,Analytics,2026-05-19,https://careers-centralhealth.icims.com/jobs/10704/compensation-analyst---analytics/job,2026-05-21 16:10,True,False
It Data Engineer,Novolex,—,Data Engineer,2026-05-19,https://careers-novolex.icims.com/jobs/33031/it-data-engineer/job,2026-05-21 16:10,True,False
Ai Engineer,Beyondsoft Consulting,—,AI Engineer,2026-05-20,https://careers-beyondsoft.icims.com/jobs/10863/ai-engineer/job,2026-05-21 16:10,True,False
Business Intelligence Developer Ii (Willow Reporting),Emory University (Non-Clinical),—,Business Intelligence,2026-05-20,https://non-clinical-emory.icims.com/jobs/162199/business-intelligence-developer-ii-%28willow-reporting%29/job,2026-05-21 16:10,True,False
"Strategy Associate, Enterprise Strategy And Analytics",HireRight,—,Analytics,2026-05-20,https://careers-hireright1.icims.com/jobs/6805/strategy-associate%2c-enterprise-strategy-and-analytics/job,2026-05-21 16:10,True,True
Data Governance Analyst,Inland Empire Health Plan,—,Data Analyst,2026-05-20,https://careers-iehp.icims.com/jobs/6548/data-governance-analyst/job,2026-05-21 16:10,True,False
Business Intelligence Developer - Remote,LoanCare,—,Business Intelligence,2026-05-20,https://careers-loancareservicing.icims.com/jobs/3225/business-intelligence-developer---remote/job,2026-05-21 16:10,True,False
"Site Ai Engineer - Fort Meyers, Fl",Suffolk Construction,—,AI Engineer,2026-05-21,https://careers-suffolkconstruction.icims.com/jobs/11146/site-ai-engineer---fort-meyers%2c-fl/job,2026-05-21 16:10,True,False
"Project Engineer, Data Centers",Suffolk Construction,—,Data Engineer,2026-05-19,https://careers-suffolkconstruction.icims.com/jobs/11010/project-engineer%2c-data-centers/job,2026-05-21 16:10,True,False
Business Intelligence Analyst,The Joint Commission,—,Business Intelligence,2026-05-21,https://careers-jointcommission.icims.com/jobs/7280/business-intelligence-analyst/job,2026-05-21 16:10,True,False
Data Analyst - Mid,American Systems,—,Data Analyst,2026-05-21,https://careers-americansystems.icims.com/jobs/4394/data-analyst---mid/job,2026-05-21 21:00,True,False
Data Engineer - Mid,American Systems,—,Data Engineer,2026-05-21,https://careers-americansystems.icims.com/jobs/4392/data-engineer---mid/job,2026-05-21 21:00,True,False
Data Engineer - Junior,American Systems,—,Data Engineer,2026-05-21,https://careers-americansystems.icims.com/jobs/4391/data-engineer---junior/job,2026-05-21 21:00,True,True
Business Data Engineer Ii,Tyndale USA,—,Data Engineer,2026-05-21,https://careers-tyndaleusa.icims.com/jobs/2455/business-data-engineer-ii/job,2026-05-21 21:00,True,False
Ai Innovation Engineer,Steampunk,—,AI Engineer,2026-05-21,https://careers-steampunk.icims.com/jobs/7781/ai-innovation-engineer/job,2026-05-21 21:00,True,False
"Business Analyst, Analytics And Automation",ComPsych,—,Analytics,2026-05-21,https://careers-compsych.icims.com/jobs/2136/business-analyst%2c-analytics-and-automation/job,2026-05-21 23:00,True,False
Data Engineer,MSCI,—,Data Engineer,2026-05-22,https://globalcareers-msci.icims.com/jobs/3980/data-engineer/job,2026-05-22 13:00,True,False
Erm Data Analytics & Reporting Analyst,East West Bank,—,Data Analyst,2026-05-21,https://careers-eastwestbank.icims.com/jobs/13144/erm-data-analytics-%26-reporting-analyst/job,2026-05-22 13:00,True,False
Data Technology Dmx Ssa Data Engineer,MSCI,—,Data Engineer,2026-05-22,https://globalcareers-msci.icims.com/jobs/4820/data-technology-dmx-ssa-data-engineer/job,2026-05-22 16:00,True,False
"Data Analyst (Dasw, Materiel Readiness) - Clearance Required",LMI (Logistics Management Institute),—,Data Analyst,2026-05-22,https://careers-lmi.icims.com/jobs/13939/data-analyst-%28dasw%2c-materiel-readiness%29---clearance-required/job,2026-05-22 16:00,True,False
Data Engineer & Governance Specialist - Clearance Required,LMI (Logistics Management Institute),—,Data Engineer,2026-05-22,https://careers-lmi.icims.com/jobs/13894/data-engineer-%26-governance-specialist---clearance-required/job,2026-05-22 16:00,True,False
Data Engineer - Clearance Required,LMI (Logistics Management Institute),—,Data Engineer,2026-05-22,https://careers-lmi.icims.com/jobs/14000/data-engineer---clearance-required/job,2026-05-22 16:00,True,False
Pricing Data Analyst,Canon USA,—,Data Analyst,2026-05-22,https://external-canoncareers.icims.com/jobs/34316/pricing-data-analyst/job,2026-05-22 16:00,True,False
Distinguished Engineer (Agentic Ai),HERE Technologies,—,AI Engineer,2026-05-22,https://careers-here.icims.com/jobs/81277/distinguished-engineer-%28agentic-ai%29/job,2026-05-22 18:00,True,False
Business Intelligence Developer - Lumicera,Navitus Health Solutions,—,Business Intelligence,2026-05-22,https://careers-navitus.icims.com/jobs/5465/business-intelligence-developer---lumicera/job,2026-05-22 18:00,True,False
