job_id,title,company,location,posted,url,found_at
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 18:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 18:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 18:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 18:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 18:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 18:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 19:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 19:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 19:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 19:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 19:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 19:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 19:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 19:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 19:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 20:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 20:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 20:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 20:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 20:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 20:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 20:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 20:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 20:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 20:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 20:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 21:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 21:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 21:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 21:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 21:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 21:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 21:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 21:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 21:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 21:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 21:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 21:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 22:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 22:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 22:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 22:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 22:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 22:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 22:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 22:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 22:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 22:45 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 22:45 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 22:45 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 23:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 23:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 23:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 23:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 23:16 UTC
